Dates,NORMAL (mm),ACTUAL (mm)
May-23,0.00,47.84
Apr-23,0.00,45.42
Mar-23,0.00,37.11
Feb-23,0.00,8.16
Jan-23,0.00,14.30
Dec-22,17.58,14.74
Nov-22,30.16,21.13
Oct-22,79.49,112.63
Sep-22,176.66,179.33
Aug-22,267.55,264.95
Jul-22,301.06,303.38
Jun-22,169.19,152.34
May-22,65.95,83.77
Apr-22,39.29,40.26
Mar-22,30.73,10.03
Feb-22,21.93,19.44
Jan-22,20.19,41.84
Dec-21,17.58,20.61
Nov-21,30.16,59.76
Oct-21,79.49,100.38
Sep-21,176.66,220.91
Aug-21,267.55,194.67
Jul-21,301.06,242.58
Jun-21,169.19,144.99
May-21,65.95,103.75
Apr-21,39.29,32.19
Mar-21,30.73,20.56
Feb-21,21.93,9.16
Jan-21,20.19,23.35
Dec-20,17.58,19.61
Nov-20,30.16,35.08
Oct-20,79.49,77.12
Sep-20,176.66,172.12
Aug-20,267.55,318.86
Jul-20,301.06,140.33
Jun-20,169.19,197.18
May-20,65.95,62.66
Apr-20,39.29,78.04
Mar-20,30.73,49.87
Feb-20,21.93,10.85
Jan-20,20.19,19.11
Dec-19,17.58,18.22
Nov-19,30.16,28.47
Oct-19,79.49,74.55
Sep-19,176.66,185.29
Aug-19,267.55,258.91
Jul-19,301.06,296.14
Jun-19,169.19,155.72
May-19,65.95,70.38
Apr-19,39.29,43.15
Mar-19,30.73,31.67
Feb-19,21.93,19.85
Jan-19,20.19,21.09
Dec-18,17.58,14.92
Nov-18,30.16,26.84
Oct-18,79.49,82.09
Sep-18,176.66,168.75
Aug-18,267.55,278.47
Jul-18,301.06,314.69
Jun-18,169.19,170.28
May-18,65.95,58.91
Apr-18,39.29,37.54
Mar-18,30.73,32.37
Feb-18,21.93,22.65
Jan-18,20.19,20.28
Dec-17,17.58,17.91
Nov-17,30.16,30.05
Oct-17,79.49,78.71
Sep-17,176.66,174.88
Aug-17,267.55,269.31
Jul-17,301.06,303.75
Jun-17,169.19,169.88
May-17,65.95,66.42
Apr-17,39.29,39.47
Mar-17,30.73,30.90
Feb-17,21.93,21.97
Jan-17,20.19,20.25
Dec-16,17.58,17.64
Nov-16,30.16,30.21
Oct-16,79.49,79.54
Sep-16,176.66,176.71
Aug-16,267.55,267.59
Jul-16,301.06,301.01
Jun-16,169.19,169.14
May-16,65.95,65.90
Apr-16,39.29,39.24
Mar-16,30.73,30.68
Feb-16,21.93,21.88
Jan-16,20.19,20.14
Dec-15,17.58,17.53
Nov-15,30.16,30.11
Oct-15,79.49,79.44
Sep-15,176.66,176.39
Aug-15,267.55,267.23
Jul-15,301.06,300.69
Jun-15,169.19,168.85
May-15,65.95,65.52
Apr-15,39.29,38.89
Mar-15,30.73,30.36
Feb-15,21.93,21.60
Jan-15,20.19,19.86
Dec-14,17.58,17.28
Nov-14,30.16,29.99
Oct-14,79.49,79.82
Sep-14,176.66,177.15
Aug-14,267.55,268.34
Jul-14,301.06,302.23
Jun-14,169.19,170.08
May-14,65.95,67.04
Apr-14,39.29,40.50
Mar-14,30.73,32.01
Feb-14,21.93,23.36
Jan-14,20.19,24.71
Dec-13,17.58,26.06
Nov-13,30.16,27.41
Oct-13,79.49,28.76
Sep-13,176.66,30.11
Aug-13,267.55,31.46
Jul-13,301.06,32.81
Jun-13,169.19,34.16
May-13,65.95,35.51
