,Unnamed: 0,UEI,Start Date,End Date,Main Cause,Latitude,Longitude,Severity,Area Affected,Human fatality,Human Displaced,Event Source,Event Souce ID,loc
0,0,UEI-DFO-FL-1985-0001,1985-06-23,1985-06-27,Heavy rain,14.5398,75.0937,1.0,254234.6,95,25000.0,DFO,27,Karnataka
1,1,UEI-DFO-FL-1985-0002,1985-07-18,1985-07-30,Heavy rain,32.8353,76.9103,1.0,117441.17,340,20000.0,DFO,33,Himachal Pradesh
2,2,UEI-DFO-FL-1985-0003,1985-09-13,1985-10-15,Heavy rain,26.4816,82.8434,2.0,89994.67,557,152000.0,DFO,53,Uttar Pradesh
3,3,UEI-DFO-FL-1985-0004,1985-10-18,1985-10-20,Tropical cyclone,21.1495,86.7154,2.0,46758.64,49,150000.0,DFO,61,Odisha
4,4,UEI-DFO-FL-1986-0001,1986-06-15,1986-08-20,Monsoonal rain,25.6339,84.0726,1.0,507167.44,258,3040000.0,DFO,93,Bihar
5,5,UEI-DFO-FL-1986-0002,1986-08-15,1986-08-22,Monsoonal rain,17.4331,80.187,1.0,107355.33,150,3000000.0,DFO,98,Telangana
7,7,UEI-DFO-FL-1988-0001,1988-05-23,1988-11-06,Monsoonal rain,26.4813,92.0622,1.0,42285.99,76,43000.0,DFO,180,Assam
8,8,UEI-DFO-FL-1988-0002,1988-06-21,1988-07-14,Heavy rain,26.988,92.926,1.0,70501.83,34,2000000.0,DFO,190,Arunachal Pradesh
9,9,UEI-DFO-FL-1988-0003,1988-04-07,1988-08-08,Monsoonal rain,28.886,80.7246,2.0,847737.26,233,500000.0,DFO,196,
10,10,UEI-DFO-FL-1988-0004,1988-07-14,1988-07-27,Heavy rain,22.0189,71.1117,1.0,76352.55,97,25000.0,DFO,203,Gujarat
11,11,UEI-DFO-FL-1988-0005,1988-07-31,1988-02-08,Heavy rain,18.4311,80.713,1.0,94871.79,50,0.0,DFO,214,Chhattisgarh
12,12,UEI-DFO-FL-1988-0006,1988-08-23,1988-09-15,Monsoonal rain,26.5037,86.5429,1.0,626872.46,876,2000.0,DFO,228,Bihar
13,13,UEI-DFO-FL-1988-0007,1988-09-21,1988-08-10,Heavy rain,30.9339,75.0459,2.0,268528.55,731,1250000.0,DFO,253,Punjab
14,14,UEI-DFO-FL-1988-0008,1988-03-10,1988-04-10,Heavy rain,19.1131,72.8962,1.0,605.213,23,0.0,DFO,255,Maharashtra
15,15,UEI-DFO-FL-1989-0001,1989-07-22,1989-07-31,Monsoonal rain,15.1816,76.4736,1.0,905209.24,780,0.0,DFO,330,Karnataka
16,16,UEI-DFO-FL-1989-0002,1989-05-07,1989-10-08,Monsoonal rain,24.8678,92.8291,2.0,112816.35,31,32000.0,DFO,334,Assam
17,17,UEI-DFO-FL-1989-0003,1989-03-09,1989-10-09,Heavy rain,26.4375,80.8611,1.0,204979.38,7,0.0,DFO,360,Uttar Pradesh
18,18,UEI-DFO-FL-1990-0001,1990-03-21,1990-03-22,Torrential rain,33.8036,76.2592,1.0,90818.98,17,0.0,DFO,401,Ladakh
19,19,UEI-DFO-FL-1990-0002,1990-10-05,1990-05-13,Tropical cyclone,16.2843,80.6926,1.0,267344.4,430,470000.0,DFO,411,Andhra Pradesh
20,20,UEI-DFO-FL-1990-0003,1990-06-13,1990-06-18,Monsoonal rain,26.7553,92.7754,2.0,53045.31,21,0.0,DFO,419,Assam
21,21,UEI-DFO-FL-1990-0004,1990-03-07,1990-07-24,Monsoonal rain,26.7055,78.8703,1.0,1100663.3,425,63517.0,DFO,431,Uttar Pradesh
22,22,UEI-DFO-FL-1990-0005,1990-08-13,1990-08-14,Heavy rain,27.5435,80.6956,1.0,284926.61,17,0.0,DFO,447,Uttar Pradesh
23,23,UEI-DFO-FL-1990-0006,1990-08-19,1990-08-25,Monsoonal rain,22.4257,71.3244,1.0,186161.6,50,0.0,DFO,450,Gujarat
24,24,UEI-DFO-FL-1990-0007,1990-10-17,1990-10-18,Heavy rain,26.0747,92.817,1.0,93839.75,10,6000.0,DFO,472,Assam
25,25,UEI-DFO-FL-1990-0008,1990-10-24,1990-10-28,Monsoonal rain,11.3982,77.0504,1.0,13576.31,44,0.0,DFO,474,Tamil Nadu
26,26,UEI-DFO-FL-1991-0001,1991-07-05,1991-11-05,Tropical cyclone,24.4696,92.4232,1.0,26042.82,13,25000.0,DFO,510,Assam
27,27,UEI-DFO-FL-1991-0002,1991-10-06,1991-12-06,Monsoonal rain,15.733,73.7324,2.0,491361.5,72,300000.0,DFO,521,Maharashtra
28,28,UEI-DFO-FL-1991-0003,1991-07-13,1991-07-19,Monsoonal rain,26.6059,92.9592,1.0,55550.83,25,400000.0,DFO,539,Assam
