loc,Historical Flooding Probability (%),Average Severity Level,Total Human Fatalities,Rank
Himachal Pradesh,53.85,1.07,6390.0,1
Bihar,92.31,1.25,4648.0,2
Maharashtra,86.67,1.19,2885.0,3
Uttar Pradesh,94.74,1.25,2866.0,4
West Bengal,77.78,1.36,2690.0,5
Assam,83.78,1.27,2290.0,6
Gujarat,95.0,1.13,1549.0,7
Karnataka,66.67,1.08,1121.0,8
Punjab,100.0,1.33,905.0,9
Andhra Pradesh,57.89,1.09,858.0,10
Odisha,73.91,1.12,842.0,11
Tamil Nadu,50.0,1.06,690.0,12
Haryana,100.0,1.0,600.0,13
Meghalaya,100.0,1.5,350.0,14
Kerala,100.0,1.22,342.0,15
Telangana,57.14,1.25,295.0,16
Chhattisgarh,100.0,1.0,168.0,17
Madhya Pradesh,100.0,1.25,122.0,18
Arunachal Pradesh,80.0,1.0,116.0,19
Rajasthan,66.67,1.25,63.0,20
Jammu and Kashmir,75.0,1.0,41.0,21
Mizoram,100.0,1.0,40.0,22
Sikkim,100.0,1.0,35.0,23
Uttarakhand,33.33,1.0,33.0,24
Jharkhand,66.67,1.0,24.0,25
Nagaland,100.0,1.5,11.0,26
Manipur,100.0,1.5,2.0,27
Ladakh,0.0,0.0,0.0,28
Tripura,0.0,0.0,0.0,29
